candidate_id,job_role,fit_score_weighted_heuristic,fit_score_embedding_similarity,fit_score_supervised_ranker
R49,Backend Developer,0.3471,0.2378,0.2189
R50,Frontend Developer,0.4639,0.3542,0.5047
R51,Data Scientist,0.5689,0.2401,0.9381
R52,Software Engineer,0.5381,0.1856,0.9259
R53,Data Analyst,0.5506,0.2231,0.925
R54,Backend Developer,0.3376,0.2129,0.2191
R55,ML Engineer,0.7456,0.4369,0.989
R56,ML Engineer,0.4156,0.0469,0.7863
R57,ML Engineer,0.4426,0.1779,0.702
R58,Backend Developer,0.491,0.3052,0.701
R59,Data Scientist,0.422,0.0661,0.7852
R60,Software Engineer,0.4035,0.244,0.4238
R61,Data Scientist,0.497,0.1309,0.8968
R62,Frontend Developer,0.5643,0.2262,0.9384
R63,Backend Developer,0.604,0.3119,0.9469
R64,Backend Developer,0.4793,0.1236,0.8712
R65,Frontend Developer,0.3187,0.2395,0.1397
R66,ML Engineer,0.2339,0.0643,0.1086
R67,Software Engineer,0.6331,0.2994,0.9689
R68,Data Analyst,0.5008,0.3345,0.699
R69,ML Engineer,0.4832,0.1354,0.8708
R70,Software Engineer,0.4872,0.1282,0.8824
R71,Software Engineer,0.6774,0.4822,0.9515
R72,Software Engineer,0.5818,0.2253,0.9534
R73,Frontend Developer,0.8292,0.4877,0.9963
R74,Data Scientist,0.5859,0.3277,0.9138
R75,Frontend Developer,0.6469,0.3407,0.9685
R76,Software Engineer,0.5737,0.2212,0.9483
R77,Software Engineer,0.6369,0.3106,0.9688
R78,Data Analyst,0.5211,0.2598,0.8513
R79,Software Engineer,0.5987,0.296,0.9471
R80,Backend Developer,0.3128,0.1135,0.2715
R81,ML Engineer,0.6086,0.3257,0.9466
R82,Data Scientist,0.6515,0.3545,0.9684
R83,Data Analyst,0.6552,0.3657,0.9682
R84,Data Scientist,0.6115,0.3145,0.9521
R85,Backend Developer,0.4187,0.1461,0.656
R86,Backend Developer,0.5005,0.1414,0.8965
R87,Software Engineer,0.4249,0.0747,0.7848
R88,Data Analyst,0.7303,0.4195,0.9873
R89,Data Analyst,0.5258,0.2175,0.8942
R90,Frontend Developer,0.6559,0.3678,0.9682
R91,ML Engineer,0.4182,0.0546,0.7858
R92,Frontend Developer,0.5569,0.242,0.9246
R93,Frontend Developer,0.4918,0.161,0.8698
R94,Backend Developer,0.4337,0.1011,0.7833
R95,Software Engineer,0.5842,0.34,0.9082
R96,Frontend Developer,0.5495,0.2201,0.9251
R97,Data Scientist,0.5743,0.2561,0.9378
R98,Data Analyst,0.5363,0.1803,0.926
R99,Software Engineer,0.5251,0.1754,0.9145
R100,Backend Developer,0.6414,0.3242,0.9686
R101,Software Engineer,0.6193,0.315,0.9576
R102,Frontend Developer,0.4431,0.2377,0.6109
R103,Data Analyst,0.5521,0.2276,0.9249
R104,Software Engineer,0.4362,0.1085,0.7829
R105,Data Analyst,0.4919,0.1615,0.8698
R106,Software Engineer,0.466,0.1856,0.7742
R107,Frontend Developer,0.373,0.044,0.6335
R108,Backend Developer,0.5799,0.2731,0.9375
R109,Backend Developer,0.5305,0.1914,0.9141
R110,Frontend Developer,0.4727,0.3252,0.5968
R111,Backend Developer,0.6617,0.3851,0.9681
R112,ML Engineer,0.5836,0.3382,0.9082
R113,Data Analyst,0.5566,0.2411,0.9246
R114,ML Engineer,0.4229,0.0687,0.7851
R115,Data Scientist,0.4012,0.1203,0.6239
R116,Data Scientist,0.6088,0.2834,0.958
R117,Backend Developer,0.4803,0.2243,0.7706
R118,ML Engineer,0.3855,0.3064,0.2498
R119,Software Engineer,0.3633,0.2238,0.2912
R120,Data Analyst,0.4289,0.0866,0.7841
R121,Data Scientist,0.3765,0.1169,0.5365
R122,Data Scientist,0.5366,0.2097,0.9136
R123,Data Analyst,0.4229,0.0688,0.7851
R124,Data Scientist,0.597,0.2709,0.9528
R125,ML Engineer,0.4145,0.0434,0.7864
R126,Backend Developer,0.5046,0.1538,0.8961
R127,Software Engineer,0.4813,0.144,0.8612
R128,Data Analyst,0.5322,0.1967,0.914
R129,Software Engineer,0.3817,0.07,0.6316
R130,Data Scientist,0.4471,0.3414,0.4492
R131,ML Engineer,0.3482,0.1346,0.3634
R132,Backend Developer,0.4449,0.3347,0.4623
R133,Data Analyst,0.3186,0.2391,0.1397
R134,Data Scientist,0.4292,0.0875,0.7841
R135,Software Engineer,0.5991,0.2544,0.9584
R136,Frontend Developer,0.2228,0.0685,0.0884
R137,Data Analyst,0.7437,0.4595,0.9871
R138,Backend Developer,0.5556,0.2667,0.9122
R139,Data Scientist,0.5093,0.1678,0.8957
R140,Software Engineer,0.6144,0.3003,0.9578
R141,Backend Developer,0.7097,0.3958,0.9844
R142,Software Engineer,0.4954,0.1528,0.8816
R143,ML Engineer,0.704,0.3785,0.9845
R144,Data Analyst,0.505,0.1549,0.8961
R145,ML Engineer,0.5248,0.1744,0.9145
R146,Software Engineer,0.5387,0.216,0.9135
R147,Backend Developer,0.2975,0.2425,0.1009
R148,Software Engineer,0.4892,0.1342,0.8822
R149,Software Engineer,0.3086,0.2474,0.116
R150,Frontend Developer,0.594,0.239,0.9586
R151,ML Engineer,0.5201,0.1604,0.9149
R152,Data Analyst,0.384,0.2854,0.2839
R153,Backend Developer,0.3086,0.2092,0.1409
R154,Data Scientist,0.6476,0.3427,0.9685
R155,Data Analyst,0.5308,0.2798,0.8528
R156,ML Engineer,0.4333,0.1355,0.7312
R157,Software Engineer,0.5255,0.1766,0.9145
R158,Data Analyst,0.6616,0.3849,0.9681
R159,Backend Developer,0.5911,0.2734,0.9475
R160,Backend Developer,0.4828,0.1485,0.8611
R161,Data Scientist,0.7421,0.4264,0.9891
R162,Backend Developer,0.6126,0.295,0.9578
R163,Data Scientist,0.5659,0.231,0.9383
R164,Frontend Developer,0.6123,0.3168,0.9521
R165,Software Engineer,0.4858,0.1573,0.8607
R166,Data Scientist,0.5078,0.19,0.8804
R167,Software Engineer,0.4905,0.1572,0.87
R168,Data Scientist,0.5543,0.1963,0.9389
R169,Software Engineer,0.5485,0.2454,0.9127
R170,ML Engineer,0.2977,0.0682,0.2744
R171,ML Engineer,0.4701,0.1102,0.8625
R172,Frontend Developer,0.5459,0.2376,0.9129
R173,Software Engineer,0.5587,0.2095,0.9387
R174,ML Engineer,0.5193,0.1979,0.8948
R175,Frontend Developer,0.4535,0.3771,0.4053
R176,Backend Developer,0.6308,0.2924,0.969
R177,Frontend Developer,0.3171,0.1262,0.2707
R178,ML Engineer,0.5841,0.2322,0.9533
R179,Data Analyst,0.6997,0.3659,0.9846
R180,Frontend Developer,0.52,0.2599,0.8371
R181,Software Engineer,0.4996,0.1653,0.8812
R182,Frontend Developer,0.2323,0.1326,0.0674
R183,Software Engineer,0.3699,0.1812,0.378
R184,Frontend Developer,0.4219,0.0656,0.7852
R185,Backend Developer,0.6024,0.3073,0.9469
R186,Software Engineer,0.5376,0.2128,0.9136
R187,Frontend Developer,0.4782,0.1203,0.8713
R188,ML Engineer,0.5108,0.1725,0.8956
R189,ML Engineer,0.4817,0.2041,0.7998
R190,Frontend Developer,0.4513,0.2623,0.609
R191,Software Engineer,0.3529,0.1989,0.2924
R192,ML Engineer,0.474,0.1221,0.8621
R193,Data Scientist,0.5595,0.2119,0.9386
R194,Frontend Developer,0.4016,0.1403,0.5973
R195,ML Engineer,0.5557,0.2386,0.9247
R196,Software Engineer,0.3642,0.1928,0.3407
R197,Software Engineer,0.415,0.0451,0.7863
R198,Backend Developer,0.6157,0.3043,0.9577
R199,Data Scientist,0.3071,0.2712,0.1
R200,Backend Developer,0.5195,0.1586,0.9149
R201,Software Engineer,0.3949,0.2419,0.3802
R202,Data Analyst,0.2431,0.1649,0.0667
R203,Software Engineer,0.5033,0.1956,0.8686
R204,Software Engineer,0.3277,0.2123,0.1957
R205,Data Analyst,0.4979,0.2738,0.7665
R206,Frontend Developer,0.6509,0.3528,0.9684
R207,Backend Developer,0.4187,0.0562,0.7858
R208,Frontend Developer,0.485,0.1406,0.8706
R209,Backend Developer,0.4264,0.0793,0.7845
R210,ML Engineer,0.6115,0.2917,0.9579
R211,Frontend Developer,0.3319,0.0455,0.4479
R212,Software Engineer,0.5153,0.1858,0.8952
R213,Data Analyst,0.4205,0.0614,0.7855
R214,ML Engineer,0.5237,0.171,0.9146
R215,Frontend Developer,0.5001,0.1404,0.8965
R216,Software Engineer,0.508,0.1908,0.8803
R217,ML Engineer,0.4658,0.2524,0.6775
R218,Data Analyst,0.5628,0.2884,0.9116
R219,Data Analyst,0.6074,0.3473,0.9351
R220,Data Scientist,0.4881,0.3194,0.6728
R221,Software Engineer,0.3959,0.3377,0.2479
R222,Software Engineer,0.5928,0.2583,0.9529
R223,Frontend Developer,0.2841,0.2022,0.102
R224,ML Engineer,0.576,0.2614,0.9377
R225,Data Analyst,0.544,0.2319,0.9131
R226,Frontend Developer,0.5171,0.1512,0.9151
R227,Software Engineer,0.6955,0.4065,0.9791
R228,Software Engineer,0.4935,0.147,0.8818
R229,Data Analyst,0.6479,0.3437,0.9685
R230,Software Engineer,0.2629,0.0889,0.1499
R231,Data Scientist,0.4294,0.0882,0.784
R232,Frontend Developer,0.4811,0.11,0.883
R233,Software Engineer,0.2608,0.0824,0.1502
R234,Frontend Developer,0.6334,0.3003,0.9689
R235,ML Engineer,0.3091,0.2108,0.1408
R236,Backend Developer,0.64,0.3199,0.9687
R237,Software Engineer,0.6305,0.2914,0.969
R238,ML Engineer,0.4034,0.3602,0.2466
R239,Data Analyst,0.3232,0.1696,0.2303
R240,Data Analyst,0.5742,0.2559,0.9378
R241,Software Engineer,0.5866,0.2599,0.9477
R242,Data Scientist,0.5062,0.2393,0.8299
R243,Data Scientist,0.5805,0.2215,0.9535
R244,Data Analyst,0.4443,0.1328,0.7816
R245,ML Engineer,0.6998,0.366,0.9846
R246,Data Scientist,0.5539,0.233,0.9248
R247,Data Analyst,0.4261,0.0782,0.7846
R248,Backend Developer,0.5323,0.1968,0.914
R249,Software Engineer,0.5821,0.2797,0.9374
R250,Backend Developer,0.527,0.1809,0.9144
R251,Backend Developer,0.5464,0.2393,0.9129
R252,Backend Developer,0.2794,0.0882,0.1927
R253,Data Scientist,0.7005,0.4014,0.9813
R254,ML Engineer,0.3584,0.1653,0.3612
R255,Frontend Developer,0.3971,0.2913,0.3226
R256,Frontend Developer,0.4196,0.0587,0.7856
R257,Data Scientist,0.544,0.2319,0.9131
R258,Backend Developer,0.6511,0.3532,0.9684
R259,Data Analyst,0.7581,0.4343,0.9912
R260,ML Engineer,0.5323,0.1968,0.914
R261,Backend Developer,0.2811,0.1432,0.1477
R262,Backend Developer,0.4345,0.3034,0.4522
R263,Backend Developer,0.3558,0.3173,0.1601
R264,Backend Developer,0.4224,0.0671,0.7852
R265,Frontend Developer,0.5554,0.1997,0.9388
R266,Backend Developer,0.3444,0.1734,0.2941
R267,Data Scientist,0.318,0.1291,0.2706
R268,ML Engineer,0.4172,0.0516,0.786
R269,Software Engineer,0.7315,0.3946,0.9892
R270,Data Analyst,0.2152,0.0955,0.0633
R271,Data Analyst,0.5387,0.216,0.9135
R272,Data Analyst,0.4924,0.1438,0.8819
R273,Data Analyst,0.4213,0.0638,0.7853
R274,Frontend Developer,0.3695,0.2084,0.3396
R275,ML Engineer,0.4214,0.0643,0.7853
R276,Frontend Developer,0.5077,0.1632,0.8959
R277,Backend Developer,0.5529,0.1921,0.939
R278,Data Scientist,0.5761,0.2617,0.9377
R279,ML Engineer,0.6885,0.3322,0.9847
R280,Data Analyst,0.6421,0.3263,0.9686
R281,Frontend Developer,0.1669,0.0507,0.0379
R282,ML Engineer,0.5382,0.1859,0.9259
R283,Software Engineer,0.4233,0.0698,0.785
R284,Data Scientist,0.4286,0.0858,0.7842
R285,ML Engineer,0.4202,0.0605,0.7855
R286,Software Engineer,0.421,0.0629,0.7854
R287,Frontend Developer,0.4901,0.156,0.87
R288,Software Engineer,0.4256,0.0768,0.7846
R289,Frontend Developer,0.4018,0.1803,0.525
R290,Frontend Developer,0.6985,0.362,0.9846
R291,Software Engineer,0.5701,0.2436,0.938
R292,Data Analyst,0.5373,0.2118,0.9136
R293,Frontend Developer,0.496,0.1737,0.8694
R294,Data Scientist,0.3914,0.3241,0.2487
R295,Data Scientist,0.313,0.2223,0.1404
R296,Data Scientist,0.5427,0.419,0.7208
R297,Backend Developer,0.5965,0.2896,0.9472
R298,Frontend Developer,0.5386,0.2157,0.9135
R299,Data Analyst,0.5235,0.2104,0.8944
R300,ML Engineer,0.5341,0.2022,0.9138
R301,Data Scientist,0.5706,0.2452,0.938
R302,Data Analyst,0.3679,0.2037,0.34
R303,Software Engineer,0.5394,0.2183,0.9134
R304,Backend Developer,0.5124,0.2038,0.8799
R305,Software Engineer,0.6536,0.3859,0.9612
R306,Frontend Developer,0.51,0.1701,0.8956
R307,Software Engineer,0.5925,0.2574,0.953
R308,Backend Developer,0.5819,0.2456,0.9479
R309,Software Engineer,0.6019,0.2629,0.9583
R310,Software Engineer,0.1914,0.1243,0.037
R311,Data Scientist,0.6648,0.3943,0.968
R312,Backend Developer,0.3306,0.2753,0.1384
R313,Data Scientist,0.2648,0.0944,0.1497
R314,Backend Developer,0.3726,0.2761,0.2548
R315,Data Scientist,0.4968,0.1761,0.8693
R316,Data Analyst,0.5332,0.1995,0.9139
R317,Data Analyst,0.4175,0.2275,0.5213
R318,Data Scientist,0.4444,0.1498,0.7505
R319,Data Scientist,0.644,0.332,0.9686
R320,Backend Developer,0.4303,0.0908,0.7839
R321,ML Engineer,0.2737,0.2112,0.0832
R322,Backend Developer,0.5636,0.2241,0.9384
R323,Frontend Developer,0.5637,0.2243,0.9384
R324,Backend Developer,0.4913,0.1596,0.8699
R325,Data Analyst,0.6398,0.3193,0.9687
R326,ML Engineer,0.5346,0.2038,0.9138
R327,ML Engineer,0.5102,0.1706,0.8956
R328,Frontend Developer,0.2327,0.098,0.0876
R329,ML Engineer,0.311,0.108,0.2719
R330,ML Engineer,0.4326,0.0979,0.7835
R331,ML Engineer,0.5263,0.1788,0.9144
R332,Data Analyst,0.5262,0.1787,0.9144
R333,Frontend Developer,0.4843,0.285,0.7023
R334,Data Analyst,0.492,0.1616,0.8698
R335,Data Analyst,0.5397,0.219,0.9134
R336,Software Engineer,0.6204,0.3313,0.9509
R337,ML Engineer,0.5363,0.3088,0.8349
R338,Data Analyst,0.5099,0.1696,0.8957
R339,Software Engineer,0.3895,0.2018,0.4271
R340,ML Engineer,0.5263,0.179,0.9144
R341,ML Engineer,0.2311,0.1183,0.0758
R342,ML Engineer,0.4186,0.0559,0.7858
R343,Frontend Developer,0.5134,0.1801,0.8954
R344,Backend Developer,0.699,0.4171,0.979
R345,Data Scientist,0.6789,0.3795,0.9766
R346,Data Scientist,0.5624,0.2205,0.9385
R347,Data Scientist,0.3615,0.0719,0.54
R348,Data Analyst,0.648,0.3439,0.9685
R349,Data Scientist,0.6922,0.3967,0.9792
R350,ML Engineer,0.6707,0.355,0.9767
R351,Frontend Developer,0.4786,0.1359,0.8616
R352,Backend Developer,0.3335,0.0506,0.4475
R353,Data Scientist,0.3259,0.226,0.179
R354,Frontend Developer,0.5109,0.1992,0.88
R355,ML Engineer,0.3551,0.3154,0.1602
R356,Data Scientist,0.2444,0.15,0.074
R357,ML Engineer,0.6291,0.2872,0.969
R358,Frontend Developer,0.6568,0.3703,0.9682
R359,ML Engineer,0.6858,0.3775,0.9793
R360,Software Engineer,0.641,0.3231,0.9687
R361,Frontend Developer,0.6168,0.3076,0.9577
R362,Data Scientist,0.7368,0.4103,0.9891
R363,Data Analyst,0.4311,0.0932,0.7838
R364,Backend Developer,0.5955,0.2864,0.9473
R365,Backend Developer,0.5589,0.3718,0.8307
R366,Software Engineer,0.5976,0.2727,0.9527
R367,Data Analyst,0.1883,0.115,0.0371
R368,ML Engineer,0.6363,0.366,0.9569
R369,Data Analyst,0.5083,0.2106,0.868
R370,Frontend Developer,0.3247,0.1599,0.2452
R371,Data Scientist,0.4682,0.2796,0.6508
R372,ML Engineer,0.7426,0.4279,0.9891
R373,Software Engineer,0.5836,0.2509,0.9478
R374,Backend Developer,0.5003,0.1675,0.8811
R375,Data Analyst,0.4168,0.0505,0.7861
R376,Data Scientist,0.3707,0.1537,0.4352
R377,Software Engineer,0.5598,0.2126,0.9386
R378,Data Analyst,0.6193,0.315,0.9576
R379,Software Engineer,0.4256,0.0767,0.7846
R380,Software Engineer,0.4768,0.116,0.8715
R381,Data Analyst,0.571,0.2462,0.938
R382,Data Scientist,0.4355,0.1065,0.783
R383,Software Engineer,0.5203,0.161,0.9148
R384,Software Engineer,0.534,0.3021,0.8352
R385,Frontend Developer,0.5546,0.197,0.9389
R386,Software Engineer,0.5242,0.1725,0.9146
R387,Data Scientist,0.491,0.1396,0.882
R388,Backend Developer,0.4093,0.1635,0.5955
R389,Frontend Developer,0.3596,0.0662,0.5405
R390,ML Engineer,0.67,0.3975,0.9671
R391,Backend Developer,0.7045,0.3801,0.9845
R392,Frontend Developer,0.2999,0.1647,0.164
R393,Software Engineer,0.4111,0.1732,0.5828
R394,Software Engineer,0.4987,0.217,0.8309
R395,Software Engineer,0.4022,0.3567,0.2468
R396,Data Scientist,0.6361,0.3654,0.9569
R397,Frontend Developer,0.5697,0.2426,0.9381
R398,Frontend Developer,0.8394,0.5183,0.9963
R399,Data Scientist,0.3289,0.2699,0.1386
R400,Frontend Developer,0.2916,0.2248,0.1014
R401,Data Analyst,0.4402,0.3208,0.4634
R402,Frontend Developer,0.5242,0.1725,0.9146
R403,Frontend Developer,0.4913,0.1407,0.882
R404,ML Engineer,0.4289,0.0867,0.7841
R405,Data Scientist,0.4317,0.095,0.7837
R406,Frontend Developer,0.5691,0.2948,0.9094
R407,Backend Developer,0.6512,0.3535,0.9684
R408,Frontend Developer,0.5867,0.2401,0.9532
R409,Software Engineer,0.4143,0.0429,0.7865
R410,Backend Developer,0.4199,0.0598,0.7856
R411,Frontend Developer,0.6326,0.2977,0.9689
R412,Software Engineer,0.574,0.2554,0.9378
R413,Data Scientist,0.4306,0.0919,0.7838
R414,Data Analyst,0.2599,0.1965,0.0729
R415,Data Scientist,0.4812,0.1293,0.871
R416,Data Analyst,0.2598,0.1959,0.073
R417,Software Engineer,0.429,0.0871,0.7841
R418,Frontend Developer,0.5135,0.2703,0.8165
R419,ML Engineer,0.4338,0.2096,0.613
R420,ML Engineer,0.5309,0.1928,0.9141
R421,Software Engineer,0.5787,0.2362,0.9481
R422,Software Engineer,0.5924,0.2571,0.953
R423,Data Analyst,0.587,0.2943,0.9371
R424,Data Analyst,0.3379,0.1536,0.2954
R425,Frontend Developer,0.2763,0.129,0.142
R426,Backend Developer,0.5646,0.2654,0.9241
R427,ML Engineer,0.2627,0.0882,0.15
R428,Data Scientist,0.4603,0.2308,0.709
R429,Frontend Developer,0.5627,0.4548,0.7509
R430,Data Scientist,0.6083,0.282,0.958
R431,Backend Developer,0.452,0.356,0.4606
R432,Frontend Developer,0.5304,0.1911,0.9141
R433,Data Scientist,0.5894,0.2681,0.9476
R434,Data Scientist,0.686,0.4008,0.9764
R435,Data Scientist,0.6301,0.3704,0.9513
R436,ML Engineer,0.5135,0.2703,0.8165
R437,Data Scientist,0.5311,0.1932,0.914
R438,Frontend Developer,0.5286,0.1857,0.9142
R439,Data Analyst,0.5034,0.1959,0.8686
R440,Software Engineer,0.6136,0.298,0.9578
R441,Data Analyst,0.575,0.2585,0.9378
R442,Frontend Developer,0.4296,0.0887,0.784
R443,Data Analyst,0.3517,0.2852,0.1771
R444,Software Engineer,0.6098,0.2866,0.958
R445,Frontend Developer,0.5271,0.1814,0.9143
R446,Data Scientist,0.6629,0.3315,0.9769
R447,Software Engineer,0.5551,0.2369,0.9247
R448,Data Scientist,0.5564,0.2026,0.9388
R449,Data Scientist,0.3608,0.2896,0.1961
R450,Data Analyst,0.5629,0.222,0.9384
R451,Software Engineer,0.1752,0.0756,0.0376
R452,Data Scientist,0.7081,0.4444,0.9789
R453,Data Scientist,0.4959,0.1734,0.8694
R454,Frontend Developer,0.5074,0.189,0.8804
R455,Frontend Developer,0.4859,0.3401,0.6146
R456,Backend Developer,0.6096,0.4704,0.8647
R457,Backend Developer,0.6129,0.2957,0.9578
R458,ML Engineer,0.4169,0.4006,0.2442
R459,Backend Developer,0.545,0.2349,0.913
R460,Data Scientist,0.4282,0.0845,0.7842
R461,Data Scientist,0.5203,0.161,0.9148
R462,ML Engineer,0.4887,0.1518,0.8702
R463,Data Analyst,0.4325,0.0974,0.7835
R464,Frontend Developer,0.55,0.2216,0.9251
R465,Software Engineer,0.5815,0.2246,0.9534
R466,ML Engineer,0.4237,0.271,0.4548
R467,ML Engineer,0.563,0.2223,0.9384
R468,Data Analyst,0.534,0.2021,0.9138
R469,ML Engineer,0.5734,0.2534,0.9379
R470,Data Analyst,0.3606,0.1236,0.4376
R471,Data Scientist,0.4223,0.067,0.7852
R472,Data Scientist,0.5441,0.2322,0.9131
R473,Data Analyst,0.3857,0.207,0.4105
R474,Backend Developer,0.4387,0.116,0.7825
R475,Frontend Developer,0.4748,0.2077,0.7715
R476,Data Scientist,0.5033,0.15,0.8962
R477,Software Engineer,0.5886,0.2459,0.9531
R478,Data Analyst,0.3056,0.2669,0.1002
R479,Frontend Developer,0.3648,0.3014,0.1955
R480,Frontend Developer,0.5622,0.22,0.9385
R481,Data Scientist,0.2871,0.1529,0.1453
R482,Software Engineer,0.6164,0.3064,0.9577
R483,Data Analyst,0.2877,0.2131,0.1017
R484,Frontend Developer,0.4638,0.2248,0.7128
R485,ML Engineer,0.5512,0.2249,0.925
R486,Frontend Developer,0.3174,0.0522,0.3743
R487,Data Analyst,0.5901,0.2504,0.9531
R488,Frontend Developer,0.4073,0.2435,0.4464
R489,ML Engineer,0.6451,0.3354,0.9685
R490,Software Engineer,0.5755,0.368,0.8685
R491,Software Engineer,0.2392,0.1534,0.067
R492,ML Engineer,0.5452,0.2356,0.913
R493,Frontend Developer,0.353,0.0464,0.542
R494,Data Analyst,0.4245,0.0735,0.7848
R495,Data Scientist,0.5714,0.2475,0.938
R496,Data Scientist,0.5705,0.2447,0.938
R497,Frontend Developer,0.4762,0.2837,0.6753
R498,Data Scientist,0.3748,0.1744,0.413
R499,Data Scientist,0.2425,0.09,0.1078
R500,Software Engineer,0.708,0.4241,0.9812
R501,Data Analyst,0.2947,0.1949,0.1311
R502,Data Analyst,0.3803,0.156,0.4716
R503,Data Scientist,0.3604,0.3311,0.1595
R504,Software Engineer,0.5161,0.2315,0.8598
R505,Data Analyst,0.7092,0.3942,0.9844
R506,Backend Developer,0.6372,0.3115,0.9688
R507,Software Engineer,0.2329,0.1486,0.0623
R508,Data Analyst,0.4361,0.1084,0.7829
R509,Frontend Developer,0.5434,0.2301,0.9131
R510,ML Engineer,0.4313,0.0939,0.7837
R511,Software Engineer,0.3305,0.2416,0.1634
R512,Data Scientist,0.4191,0.2907,0.4202
R513,Data Scientist,0.3324,0.0971,0.371
R514,Frontend Developer,0.639,0.317,0.9687
R515,Software Engineer,0.4157,0.047,0.7862
R516,Backend Developer,0.4291,0.0873,0.7841
R517,Data Scientist,0.565,0.2283,0.9383
R518,Data Scientist,0.5158,0.2139,0.8796
R519,Data Scientist,0.538,0.2141,0.9135
R520,Data Analyst,0.3589,0.2101,0.2889
R521,Data Analyst,0.2807,0.1922,0.1023
R522,Frontend Developer,0.4183,0.2351,0.4979
R523,Software Engineer,0.6103,0.3108,0.9522
R524,Data Scientist,0.2364,0.0716,0.1084
R525,ML Engineer,0.3594,0.1683,0.3609
R526,Software Engineer,0.4174,0.0522,0.786
R527,ML Engineer,0.5221,0.1664,0.9147
R528,ML Engineer,0.5093,0.168,0.8957
R529,Frontend Developer,0.7562,0.4286,0.9912
R530,ML Engineer,0.4971,0.177,0.8693
R531,Software Engineer,0.5681,0.2378,0.9381
R532,ML Engineer,0.5325,0.1974,0.9139
R533,Data Analyst,0.4458,0.2087,0.6688
R534,Software Engineer,0.4361,0.1084,0.7829
R535,Backend Developer,0.4019,0.3557,0.2468
R536,Frontend Developer,0.393,0.3291,0.2484
R537,ML Engineer,0.603,0.2891,0.9525
R538,Software Engineer,0.5127,0.178,0.8954
R539,Backend Developer,0.5773,0.2653,0.9376
R540,ML Engineer,0.5819,0.2256,0.9534
R541,Data Analyst,0.6584,0.3753,0.9681
R542,Frontend Developer,0.4203,0.061,0.7855
R543,Data Scientist,0.5941,0.2622,0.9529
R544,ML Engineer,0.4213,0.0638,0.7853
R545,Data Analyst,0.5955,0.32,0.9366
R546,Software Engineer,0.2994,0.1463,0.1828
R547,ML Engineer,0.536,0.5181,0.5405
R548,Backend Developer,0.5526,0.2577,0.9124
R549,Data Analyst,0.4542,0.3305,0.4913
R550,Software Engineer,0.3419,0.2758,0.1619
R551,Frontend Developer,0.2972,0.2129,0.1171
R552,Software Engineer,0.4917,0.1608,0.8699
R553,Backend Developer,0.6826,0.3679,0.9794
R554,Software Engineer,0.489,0.1336,0.8822
R555,ML Engineer,0.4825,0.2974,0.672
R556,Backend Developer,0.4487,0.296,0.5408
R557,Backend Developer,0.4167,0.05,0.7861
R558,ML Engineer,0.4797,0.139,0.8614
R559,ML Engineer,0.3337,0.0509,0.4475
