resume_id,resume_text,resume_skills,experience_years,education_level,projects,certifications,job_role,required_skills,job_experience_required,job_description,skill_match_score,experience_match,education_match,final_score,shortlisted,similarity_score
R10,"Professional Summary:
Candidate with 6 years of experience.

Skills:
Data Analysis, PyTorch, Django, Deep Learning

Experience:
- Handled large-scale data processing tasks
- Worked on real-world data science projects

Projects:
- Implemented deep learning models using TensorFlow
- Developed a web application using Flask and React

Certifications:
None","Data Analysis, PyTorch, Django, Deep Learning",6,Bachelors,Implemented deep learning models using TensorFlow; Developed a web application using Flask and React,None,Data Scientist,"TensorFlow, Python, SQL, Power BI, Node.js, Data Analysis, React, Kubernetes",2,"We are hiring a Data Scientist.
Required experience: 2 years.
Skills required: TensorFlow, Python, SQL, Power BI, Node.js, Data Analysis, React, Kubernetes.",0.12,1,0,0.3061753482887407,0,1.0000000000000007
R11,"Professional Summary:
Candidate with 7 years of experience.

Skills:
Java, NLP, Kubernetes, Python, Data Analysis, Deep Learning

Experience:
- Optimized model performance and accuracy

Projects:
- Designed scalable backend systems using Node.js
- Implemented deep learning models using TensorFlow

Certifications:
None","Java, NLP, Kubernetes, Python, Data Analysis, Deep Learning",7,Masters,Designed scalable backend systems using Node.js; Implemented deep learning models using TensorFlow,None,Software Engineer,"PyTorch, TensorFlow, Java",6,"We are hiring a Software Engineer.
Required experience: 6 years.
Skills required: PyTorch, TensorFlow, Java.",0.33,1,1,0.7743062889819315,1,1.0
R12,"Professional Summary:
Candidate with 8 years of experience.

Skills:
Java, PyTorch, React, NLP, Python

Experience:
- Worked on real-world data science projects
- Collaborated with cross-functional teams

Projects:
- Built a machine learning model for predicting customer churn

Certifications:
AWS Certified, Google Data Analytics","Java, PyTorch, React, NLP, Python",8,Bachelors,Built a machine learning model for predicting customer churn,"AWS Certified, Google Data Analytics",Backend Developer,"Java, SQL, Flask, Cloud Computing, Django, Deep Learning, Machine Learning",6,"We are hiring a Backend Developer.
Required experience: 6 years.
Skills required: Java, SQL, Flask, Cloud Computing, Django, Deep Learning, Machine Learning.",0.14,1,0,0.6068756493829837,1,1.0000000000000002
R13,"Professional Summary:
Candidate with 7 years of experience.

Skills:
Cloud Computing, Power BI, Excel, Kubernetes, SQL, PyTorch, Flask, Deep Learning

Experience:
- Worked on real-world data science projects
- Handled large-scale data processing tasks
- Optimized model performance and accuracy

Projects:
- Built a machine learning model for predicting customer churn

Certifications:
NLP Certification","Cloud Computing, Power BI, Excel, Kubernetes, SQL, PyTorch, Flask, Deep Learning",7,Masters,Built a machine learning model for predicting customer churn,NLP Certification,Software Engineer,"Excel, Deep Learning, Docker, SQL, Django, Machine Learning, NLP",3,"We are hiring a Software Engineer.
Required experience: 3 years.
Skills required: Excel, Deep Learning, Docker, SQL, Django, Machine Learning, NLP.",0.43,1,1,0.5851303046320543,1,0.9999999999999996
R14,"Professional Summary:
Candidate with 10 years of experience.

Skills:
Django, TensorFlow, C++, Python

Experience:
- Handled large-scale data processing tasks

Projects:
- Built a machine learning model for predicting customer churn
- Developed a web application using Flask and React

Certifications:
AWS Certified","Django, TensorFlow, C++, Python",10,PhD,Built a machine learning model for predicting customer churn; Developed a web application using Flask and React,AWS Certified,Software Engineer,"C++, Data Analysis, Cloud Computing, TensorFlow, Node.js",6,"We are hiring a Software Engineer.
Required experience: 6 years.
Skills required: C++, Data Analysis, Cloud Computing, TensorFlow, Node.js.",0.4,1,1,0.6145474901621303,1,0.9999999999999997
R15,"Professional Summary:
Candidate with 10 years of experience.

Skills:
Node.js, React, Excel, Java, TensorFlow

Experience:
- Optimized model performance and accuracy
- Collaborated with cross-functional teams
- Handled large-scale data processing tasks

Projects:
- Built a machine learning model for predicting customer churn
- Designed scalable backend systems using Node.js

Certifications:
Google Data Analytics","Node.js, React, Excel, Java, TensorFlow",10,Masters,Built a machine learning model for predicting customer churn; Designed scalable backend systems using Node.js,Google Data Analytics,Data Analyst,"Flask, TensorFlow, Python, Machine Learning, Java, Docker, SQL",5,"We are hiring a Data Analyst.
Required experience: 5 years.
Skills required: Flask, TensorFlow, Python, Machine Learning, Java, Docker, SQL.",0.29,1,1,0.5693070672417444,1,0.9999999999999998
R16,"Professional Summary:
Candidate with 6 years of experience.

Skills:
Docker, TensorFlow, Deep Learning

Experience:
- Collaborated with cross-functional teams
- Handled large-scale data processing tasks

Projects:
- Created interactive dashboards using Power BI

Certifications:
AWS Certified","Docker, TensorFlow, Deep Learning",6,Bachelors,Created interactive dashboards using Power BI,AWS Certified,Frontend Developer,"Docker, TensorFlow, Flask",5,"We are hiring a Frontend Developer.
Required experience: 5 years.
Skills required: Docker, TensorFlow, Flask.",0.67,1,0,0.6079393395545281,1,1.0
R17,"Professional Summary:
Candidate with 5 years of experience.

Skills:
Deep Learning, Power BI, NLP, Node.js, Django, Data Analysis, Python, SQL

Experience:
- Deployed applications using cloud services

Projects:
- Developed a web application using Flask and React
- Created interactive dashboards using Power BI
- Built a machine learning model for predicting customer churn

Certifications:
AWS Certified, Deep Learning Specialization","Deep Learning, Power BI, NLP, Node.js, Django, Data Analysis, Python, SQL",5,Masters,Developed a web application using Flask and React; Created interactive dashboards using Power BI; Built a machine learning model for predicting customer churn,"AWS Certified, Deep Learning Specialization",Software Engineer,"Django, Docker, C++, Power BI",2,"We are hiring a Software Engineer.
Required experience: 2 years.
Skills required: Django, Docker, C++, Power BI.",0.5,1,1,0.8574269294896714,1,0.9999999999999999
R18,"Professional Summary:
Candidate with 4 years of experience.

Skills:
Data Analysis, Kubernetes, Cloud Computing

Experience:
- Worked on real-world data science projects

Projects:
- Created interactive dashboards using Power BI
- Implemented deep learning models using TensorFlow

Certifications:
NLP Certification, Microsoft Azure","Data Analysis, Kubernetes, Cloud Computing",4,Bachelors,Created interactive dashboards using Power BI; Implemented deep learning models using TensorFlow,"NLP Certification, Microsoft Azure",ML Engineer,"PyTorch, Excel, Java, Machine Learning",5,"We are hiring a ML Engineer.
Required experience: 5 years.
Skills required: PyTorch, Excel, Java, Machine Learning.",0.0,0,0,0.17958350559263475,0,1.0
R19,"Professional Summary:
Candidate with 3 years of experience.

Skills:
Docker, Cloud Computing, Flask, Machine Learning, Data Analysis, C++

Experience:
- Handled large-scale data processing tasks
- Collaborated with cross-functional teams
- Deployed applications using cloud services

Projects:
- Implemented deep learning models using TensorFlow

Certifications:
None","Docker, Cloud Computing, Flask, Machine Learning, Data Analysis, C++",3,Masters,Implemented deep learning models using TensorFlow,None,Data Analyst,"Cloud Computing, PyTorch, Machine Learning",6,"We are hiring a Data Analyst.
Required experience: 6 years.
Skills required: Cloud Computing, PyTorch, Machine Learning.",0.67,0,1,0.35403540872607925,0,1.0
R20,"Professional Summary:
Candidate with 4 years of experience.

Skills:
Node.js, C++, Flask, Cloud Computing, Data Analysis

Experience:
- Collaborated with cross-functional teams
- Optimized model performance and accuracy
- Handled large-scale data processing tasks

Projects:
- Developed a web application using Flask and React

Certifications:
Deep Learning Specialization","Node.js, C++, Flask, Cloud Computing, Data Analysis",4,PhD,Developed a web application using Flask and React,Deep Learning Specialization,Backend Developer,"C++, PyTorch, Data Analysis",4,"We are hiring a Backend Developer.
Required experience: 4 years.
Skills required: C++, PyTorch, Data Analysis.",0.67,1,1,0.8002225350833806,1,1.0
R21,"Professional Summary:
Candidate with 7 years of experience.

Skills:
Cloud Computing, Django, TensorFlow, Node.js, PyTorch, Machine Learning, Excel

Experience:
- Handled large-scale data processing tasks
- Optimized model performance and accuracy
- Worked on real-world data science projects

Projects:
- Built a machine learning model for predicting customer churn

Certifications:
NLP Certification","Cloud Computing, Django, TensorFlow, Node.js, PyTorch, Machine Learning, Excel",7,PhD,Built a machine learning model for predicting customer churn,NLP Certification,Software Engineer,"C++, Power BI, Data Analysis, Deep Learning, Python, Django, Machine Learning, TensorFlow",5,"We are hiring a Software Engineer.
Required experience: 5 years.
Skills required: C++, Power BI, Data Analysis, Deep Learning, Python, Django, Machine Learning, TensorFlow.",0.38,1,1,0.5418481581956127,1,1.0
R22,"Professional Summary:
Candidate with 6 years of experience.

Skills:
Django, Flask, Data Analysis

Experience:
- Collaborated with cross-functional teams
- Handled large-scale data processing tasks

Projects:
- Developed a web application using Flask and React
- Designed scalable backend systems using Node.js

Certifications:
AWS Certified, NLP Certification","Django, Flask, Data Analysis",6,Masters,Developed a web application using Flask and React; Designed scalable backend systems using Node.js,"AWS Certified, NLP Certification",Frontend Developer,"Django, Java, Power BI, Machine Learning, Node.js, SQL, Kubernetes",4,"We are hiring a Frontend Developer.
Required experience: 4 years.
Skills required: Django, Java, Power BI, Machine Learning, Node.js, SQL, Kubernetes.",0.14,1,1,0.5947862517034226,1,1.0000000000000004
R23,"Professional Summary:
Candidate with 6 years of experience.

Skills:
Node.js, TensorFlow, Cloud Computing, Django, C++, Flask, Docker, Excel

Experience:
- Optimized model performance and accuracy

Projects:
- Developed a web application using Flask and React
- Implemented deep learning models using TensorFlow

Certifications:
Microsoft Azure","Node.js, TensorFlow, Cloud Computing, Django, C++, Flask, Docker, Excel",6,PhD,Developed a web application using Flask and React; Implemented deep learning models using TensorFlow,Microsoft Azure,Backend Developer,"Power BI, Excel, Django, SQL, Docker, Deep Learning",2,"We are hiring a Backend Developer.
Required experience: 2 years.
Skills required: Power BI, Excel, Django, SQL, Docker, Deep Learning.",0.5,1,1,0.7099085529881075,1,1.0000000000000002
R24,"Professional Summary:
Candidate with 3 years of experience.

Skills:
Cloud Computing, PyTorch, SQL, Deep Learning, Node.js

Experience:
- Handled large-scale data processing tasks
- Deployed applications using cloud services

Projects:
- Developed a web application using Flask and React
- Designed scalable backend systems using Node.js
- Built a machine learning model for predicting customer churn

Certifications:
Deep Learning Specialization","Cloud Computing, PyTorch, SQL, Deep Learning, Node.js",3,Masters,Developed a web application using Flask and React; Designed scalable backend systems using Node.js; Built a machine learning model for predicting customer churn,Deep Learning Specialization,Data Analyst,"Data Analysis, Flask, Kubernetes",5,"We are hiring a Data Analyst.
Required experience: 5 years.
Skills required: Data Analysis, Flask, Kubernetes.",0.0,0,1,0.28682099526511073,0,0.9999999999999999
R25,"Professional Summary:
Candidate with 6 years of experience.

Skills:
Python, Kubernetes, React, PyTorch, NLP, Deep Learning, TensorFlow, Data Analysis

Experience:
- Deployed applications using cloud services
- Handled large-scale data processing tasks

Projects:
- Designed scalable backend systems using Node.js
- Developed a web application using Flask and React
- Implemented deep learning models using TensorFlow

Certifications:
None","Python, Kubernetes, React, PyTorch, NLP, Deep Learning, TensorFlow, Data Analysis",6,PhD,Designed scalable backend systems using Node.js; Developed a web application using Flask and React; Implemented deep learning models using TensorFlow,None,Data Scientist,"Cloud Computing, Kubernetes, NLP, Django, React, SQL",5,"We are hiring a Data Scientist.
Required experience: 5 years.
Skills required: Cloud Computing, Kubernetes, NLP, Django, React, SQL.",0.5,1,1,0.835552788417904,1,1.0
R26,"Professional Summary:
Candidate with 7 years of experience.

Skills:
Python, Kubernetes, PyTorch, SQL, Cloud Computing, Data Analysis, React

Experience:
- Deployed applications using cloud services

Projects:
- Created interactive dashboards using Power BI

Certifications:
Microsoft Azure","Python, Kubernetes, PyTorch, SQL, Cloud Computing, Data Analysis, React",7,Bachelors,Created interactive dashboards using Power BI,Microsoft Azure,ML Engineer,"Kubernetes, Excel, Flask, TensorFlow, Node.js",1,"We are hiring a ML Engineer.
Required experience: 1 years.
Skills required: Kubernetes, Excel, Flask, TensorFlow, Node.js.",0.2,1,0,0.3899021346475079,0,1.0
R27,"Professional Summary:
Candidate with 1 years of experience.

Skills:
Python, TensorFlow, Java, Docker, Machine Learning, Cloud Computing

Experience:
- Worked on real-world data science projects

Projects:
- Built a machine learning model for predicting customer churn

Certifications:
None","Python, TensorFlow, Java, Docker, Machine Learning, Cloud Computing",1,PhD,Built a machine learning model for predicting customer churn,None,Backend Developer,"Power BI, Deep Learning, React, Machine Learning",5,"We are hiring a Backend Developer.
Required experience: 5 years.
Skills required: Power BI, Deep Learning, React, Machine Learning.",0.25,0,1,0.2542703315240835,0,1.0000000000000002
R28,"Professional Summary:
Candidate with 9 years of experience.

Skills:
Django, Excel, Docker, NLP

Experience:
- Worked on real-world data science projects
- Optimized model performance and accuracy
- Deployed applications using cloud services

Projects:
- Built a machine learning model for predicting customer churn
- Developed a web application using Flask and React
- Implemented deep learning models using TensorFlow

Certifications:
None","Django, Excel, Docker, NLP",9,PhD,Built a machine learning model for predicting customer churn; Developed a web application using Flask and React; Implemented deep learning models using TensorFlow,None,Frontend Developer,"Kubernetes, Data Analysis, SQL, Power BI, Java, Docker",3,"We are hiring a Frontend Developer.
Required experience: 3 years.
Skills required: Kubernetes, Data Analysis, SQL, Power BI, Java, Docker.",0.17,1,1,0.6443910373252795,1,1.0000000000000002
R29,"Professional Summary:
Candidate with 10 years of experience.

Skills:
Machine Learning, Java, Docker, Flask, Cloud Computing, NLP, TensorFlow, Excel

Experience:
- Optimized model performance and accuracy
- Deployed applications using cloud services

Projects:
- Implemented deep learning models using TensorFlow

Certifications:
AWS Certified","Machine Learning, Java, Docker, Flask, Cloud Computing, NLP, TensorFlow, Excel",10,Masters,Implemented deep learning models using TensorFlow,AWS Certified,Frontend Developer,"Flask, NLP, Node.js, Excel",5,"We are hiring a Frontend Developer.
Required experience: 5 years.
Skills required: Flask, NLP, Node.js, Excel.",0.75,1,1,0.6639351238159995,1,1.0000000000000002
R30,"Professional Summary:
Candidate with 1 years of experience.

Skills:
React, Django, Flask, Excel, NLP, Node.js, Machine Learning

Experience:
- Worked on real-world data science projects
- Deployed applications using cloud services

Projects:
- Developed a web application using Flask and React
- Implemented deep learning models using TensorFlow

Certifications:
NLP Certification, Deep Learning Specialization","React, Django, Flask, Excel, NLP, Node.js, Machine Learning",1,Masters,Developed a web application using Flask and React; Implemented deep learning models using TensorFlow,"NLP Certification, Deep Learning Specialization",ML Engineer,"React, Data Analysis, Docker, Excel",3,"We are hiring a ML Engineer.
Required experience: 3 years.
Skills required: React, Data Analysis, Docker, Excel.",0.5,0,1,0.5322634555704315,1,1.0
R31,"Professional Summary:
Candidate with 3 years of experience.

Skills:
Excel, TensorFlow, Python, Data Analysis, Java

Experience:
- Worked on real-world data science projects
- Handled large-scale data processing tasks

Projects:
- Implemented deep learning models using TensorFlow
- Developed a web application using Flask and React

Certifications:
Deep Learning Specialization, NLP Certification","Excel, TensorFlow, Python, Data Analysis, Java",3,PhD,Implemented deep learning models using TensorFlow; Developed a web application using Flask and React,"Deep Learning Specialization, NLP Certification",ML Engineer,"Kubernetes, Power BI, C++, Docker",4,"We are hiring a ML Engineer.
Required experience: 4 years.
Skills required: Kubernetes, Power BI, C++, Docker.",0.0,0,1,0.2011572371061875,0,0.9999999999999994
R32,"Professional Summary:
Candidate with 4 years of experience.

Skills:
Node.js, Docker, Flask, Cloud Computing, NLP, TensorFlow, Power BI

Experience:
- Handled large-scale data processing tasks

Projects:
- Developed a web application using Flask and React
- Built a machine learning model for predicting customer churn

Certifications:
Google Data Analytics, Microsoft Azure","Node.js, Docker, Flask, Cloud Computing, NLP, TensorFlow, Power BI",4,Masters,Developed a web application using Flask and React; Built a machine learning model for predicting customer churn,"Google Data Analytics, Microsoft Azure",Frontend Developer,"Data Analysis, PyTorch, React, Excel",6,"We are hiring a Frontend Developer.
Required experience: 6 years.
Skills required: Data Analysis, PyTorch, React, Excel.",0.0,0,1,0.1695154778955839,0,0.9999999999999998
R33,"Professional Summary:
Candidate with 2 years of experience.

Skills:
Node.js, C++, Machine Learning, Data Analysis, Deep Learning, PyTorch, NLP

Experience:
- Worked on real-world data science projects
- Handled large-scale data processing tasks

Projects:
- Designed scalable backend systems using Node.js

Certifications:
None","Node.js, C++, Machine Learning, Data Analysis, Deep Learning, PyTorch, NLP",2,Masters,Designed scalable backend systems using Node.js,None,Backend Developer,"Deep Learning, React, Machine Learning, Python, C++",3,"We are hiring a Backend Developer.
Required experience: 3 years.
Skills required: Deep Learning, React, Machine Learning, Python, C++.",0.6,0,1,0.5246656611759999,1,1.0
R34,"Professional Summary:
Candidate with 7 years of experience.

Skills:
React, Django, Cloud Computing, NLP, Python, Deep Learning

Experience:
- Worked on real-world data science projects
- Collaborated with cross-functional teams
- Handled large-scale data processing tasks

Projects:
- Implemented deep learning models using TensorFlow

Certifications:
AWS Certified","React, Django, Cloud Computing, NLP, Python, Deep Learning",7,Bachelors,Implemented deep learning models using TensorFlow,AWS Certified,Backend Developer,"SQL, Power BI, Machine Learning, Flask, C++",5,"We are hiring a Backend Developer.
Required experience: 5 years.
Skills required: SQL, Power BI, Machine Learning, Flask, C++.",0.0,1,0,0.5396896099223678,1,1.0
R35,"Professional Summary:
Candidate with 9 years of experience.

Skills:
Power BI, Node.js, Kubernetes, Django, React, PyTorch, Deep Learning

Experience:
- Collaborated with cross-functional teams
- Optimized model performance and accuracy
- Deployed applications using cloud services

Projects:
- Designed scalable backend systems using Node.js
- Built a machine learning model for predicting customer churn

Certifications:
AWS Certified, Google Data Analytics","Power BI, Node.js, Kubernetes, Django, React, PyTorch, Deep Learning",9,Masters,Designed scalable backend systems using Node.js; Built a machine learning model for predicting customer churn,"AWS Certified, Google Data Analytics",Data Scientist,"Power BI, NLP, SQL, TensorFlow",1,"We are hiring a Data Scientist.
Required experience: 1 years.
Skills required: Power BI, NLP, SQL, TensorFlow.",0.25,1,1,0.7925192044349383,1,1.0
R36,"Professional Summary:
Candidate with 4 years of experience.

Skills:
Django, React, C++, Java, Machine Learning, Deep Learning

Experience:
- Collaborated with cross-functional teams
- Deployed applications using cloud services
- Worked on real-world data science projects

Projects:
- Built a machine learning model for predicting customer churn
- Developed a web application using Flask and React

Certifications:
NLP Certification","Django, React, C++, Java, Machine Learning, Deep Learning",4,PhD,Built a machine learning model for predicting customer churn; Developed a web application using Flask and React,NLP Certification,Backend Developer,"Deep Learning, Excel, PyTorch, SQL",1,"We are hiring a Backend Developer.
Required experience: 1 years.
Skills required: Deep Learning, Excel, PyTorch, SQL.",0.25,1,1,0.5913841307520112,1,1.0000000000000002
R37,"Professional Summary:
Candidate with 7 years of experience.

Skills:
C++, PyTorch, Django, Machine Learning

Experience:
- Worked on real-world data science projects
- Handled large-scale data processing tasks

Projects:
- Implemented deep learning models using TensorFlow
- Created interactive dashboards using Power BI

Certifications:
NLP Certification, Deep Learning Specialization","C++, PyTorch, Django, Machine Learning",7,PhD,Implemented deep learning models using TensorFlow; Created interactive dashboards using Power BI,"NLP Certification, Deep Learning Specialization",Data Analyst,"Cloud Computing, Excel, Python, SQL, Machine Learning, PyTorch, C++, Kubernetes",1,"We are hiring a Data Analyst.
Required experience: 1 years.
Skills required: Cloud Computing, Excel, Python, SQL, Machine Learning, PyTorch, C++, Kubernetes.",0.38,1,1,0.6293016342019152,1,1.0
R38,"Professional Summary:
Candidate with 2 years of experience.

Skills:
Excel, Java, NLP, React, PyTorch, Cloud Computing, Power BI, Deep Learning

Experience:
- Optimized model performance and accuracy
- Handled large-scale data processing tasks

Projects:
- Implemented deep learning models using TensorFlow
- Built a machine learning model for predicting customer churn

Certifications:
Microsoft Azure","Excel, Java, NLP, React, PyTorch, Cloud Computing, Power BI, Deep Learning",2,PhD,Implemented deep learning models using TensorFlow; Built a machine learning model for predicting customer churn,Microsoft Azure,Frontend Developer,"NLP, Cloud Computing, Flask",6,"We are hiring a Frontend Developer.
Required experience: 6 years.
Skills required: NLP, Cloud Computing, Flask.",0.67,0,1,0.5719365746203138,1,1.0000000000000004
R39,"Professional Summary:
Candidate with 4 years of experience.

Skills:
C++, Kubernetes, Java, Django, Node.js, NLP

Experience:
- Worked on real-world data science projects
- Collaborated with cross-functional teams

Projects:
- Implemented deep learning models using TensorFlow

Certifications:
AWS Certified, Deep Learning Specialization","C++, Kubernetes, Java, Django, Node.js, NLP",4,Masters,Implemented deep learning models using TensorFlow,"AWS Certified, Deep Learning Specialization",Backend Developer,"React, Django, Java, Data Analysis, Deep Learning",5,"We are hiring a Backend Developer.
Required experience: 5 years.
Skills required: React, Django, Java, Data Analysis, Deep Learning.",0.4,0,1,0.3920457481218804,0,1.0000000000000002
R40,"Professional Summary:
Candidate with 0 years of experience.

Skills:
C++, Django, React, Machine Learning

Experience:
- Collaborated with cross-functional teams

Projects:
- Developed a web application using Flask and React
- Designed scalable backend systems using Node.js
- Implemented deep learning models using TensorFlow

Certifications:
AWS Certified, Deep Learning Specialization","C++, Django, React, Machine Learning",0,PhD,Developed a web application using Flask and React; Designed scalable backend systems using Node.js; Implemented deep learning models using TensorFlow,"AWS Certified, Deep Learning Specialization",Data Scientist,"Machine Learning, Deep Learning, React, C++, Excel, Docker",3,"We are hiring a Data Scientist.
Required experience: 3 years.
Skills required: Machine Learning, Deep Learning, React, C++, Excel, Docker.",0.5,0,1,0.4366114704534337,1,1.0000000000000002
